Title,Price,Date,Link
Ikea Sectional Couch,900,2021-02-14 21:48,https://charlottesville.craigslist.org/fuo/d/charlottesville-ikea-sectional-couch/7273327398.html
Victorian Couch,50,2021-02-14 18:47,https://charlottesville.craigslist.org/fuo/d/kents-store-victorian-couch/7277539012.html
Couch and Table Set,400,2021-02-14 15:36,https://harrisonburg.craigslist.org/fuo/d/harrisonburg-couch-and-table-set/7277463301.html
Couch and Oversized Chair with ottoman,125,2021-02-14 15:01,https://charlottesville.craigslist.org/fuo/d/charlottesville-couch-and-oversized/7272040788.html
Couch,80,2021-02-14 14:47,https://charlottesville.craigslist.org/fuo/d/scottsville-couch/7273173823.html
Cool Retro Couch,80,2021-02-14 14:46,https://charlottesville.craigslist.org/fuo/d/scottsville-cool-retro-couch/7273224342.html
COUCH,150,2021-02-14 08:11,https://charlottesville.craigslist.org/fuo/d/barboursville-couch/7273263434.html
Stylish White Bernhart Couch,545,2021-02-13 17:47,https://charlottesville.craigslist.org/fuo/d/stylish-white-bernhart-couch/7264419501.html
Elegant White Baker Couch with Pillows Reupholstered,495,2021-02-13 17:47,https://charlottesville.craigslist.org/fuo/d/elegant-white-baker-couch-with-pillows/7264423062.html
Ashley Couch Elegant Brown Ones,450,2021-02-13 17:38,https://charlottesville.craigslist.org/fuo/d/keswick-ashley-couch-elegant-brown-ones/7264441645.html
Couch,200,2021-02-13 08:46,https://richmond.craigslist.org/fuo/d/powhatan-couch/7270520874.html
The Nugget Comfort Couch BRAND NEW in BOX,400,2021-02-13 00:26,https://charlottesville.craigslist.org/bab/d/charlottesville-the-nugget-comfort/7276802698.html
Large Fabric Couch by Norwalk Custom - Firm cushions,250,2021-02-12 21:25,https://richmond.craigslist.org/fuo/d/powhatan-large-fabric-couch-by-norwalk/7273445486.html
couch and loveseat,550,2021-02-11 22:21,https://harrisonburg.craigslist.org/fuo/d/deerfield-couch-and-loveseat/7276286382.html
Couch/loveseat,100,2021-02-11 09:09,https://charlottesville.craigslist.org/fuo/d/charlottesville-couch-loveseat/7275887721.html
Beige Couch with Chaise,450,2021-02-11 08:25,https://charlottesville.craigslist.org/hsh/d/batesville-beige-couch-with-chaise/7261866221.html
Beige Couch with Chaise,450,2021-02-11 08:25,https://charlottesville.craigslist.org/fuo/d/batesville-beige-couch-with-chaise/7261866808.html
Beige Couch with Chaise,450,2021-02-11 08:25,https://harrisonburg.craigslist.org/hsh/d/greenwood-beige-couch-with-chaise/7261867459.html
Beige Couch with Chaise,450,2021-02-11 08:26,https://harrisonburg.craigslist.org/fuo/d/batesville-beige-couch-with-chaise/7261868047.html
Chair with couch recliner...**Fine*),1275,2021-02-10 11:58,https://charlottesville.craigslist.org/fuo/d/charlottesville-chair-with-couch/7268975601.html
Solid wood couch and chair,175,2021-02-08 19:22,https://charlottesville.craigslist.org/fuo/d/stuarts-draft-solid-wood-couch-and-chair/7274721341.html
Solid wood couch and chair,175,2021-02-08 19:23,https://harrisonburg.craigslist.org/fuo/d/stuarts-draft-solid-wood-couch-and-chair/7274721702.html
Very large leather sectional couch,2000,2021-02-08 14:26,https://richmond.craigslist.org/fuo/d/cartersville-very-large-leather/7273306695.html
Stickley Couch needs Reupholstery,50,2021-02-06 11:17,https://charlottesville.craigslist.org/fuo/d/earlysville-stickley-couch-needs/7273521302.html
Sectional couch,1500,2021-02-04 20:03,https://charlottesville.craigslist.org/fuo/d/orange-sectional-couch/7272801862.html
Blue Floral Couch,100,2021-02-01 11:38,https://charlottesville.craigslist.org/fuo/d/orange-blue-floral-couch/7270974796.html
"Living Room Suite - Couch, Loveseat, and Ottoman",400,2021-01-29 15:28,https://harrisonburg.craigslist.org/fuo/d/elkton-living-room-suite-couch-loveseat/7269688631.html
Couch,100,2021-01-28 14:06,https://harrisonburg.craigslist.org/for/d/elkton-couch/7269133655.html
Couch,100,2021-01-28 14:00,https://harrisonburg.craigslist.org/fuo/d/elkton-couch/7269129628.html
Antique Sofa / Couch,600,2021-01-27 20:26,https://lynchburg.craigslist.org/atq/d/evergreen-antique-sofa-couch/7268830635.html
ethan allen couch,200,2021-01-25 14:34,https://charlottesville.craigslist.org/fuo/d/charlottesville-ethan-allen-couch/7267627939.html
Red floral pattern couch and chair set,50,2021-01-24 16:05,https://harrisonburg.craigslist.org/fuo/d/harrisonburg-red-floral-pattern-couch/7267178896.html
Comfy Red Couch,195,2021-01-24 09:13,https://charlottesville.craigslist.org/fuo/d/charlottesville-comfy-red-couch/7266970786.html
Project Couch: Needs new seat cushion,60,2021-01-22 22:59,https://charlottesville.craigslist.org/fuo/d/charlottesville-project-couch-needs-new/7252292370.html
Futon queen bed/lounger/couch,150,2021-01-22 12:02,https://charlottesville.craigslist.org/fuo/d/charlottesville-futon-queen-bed-lounger/7266045957.html
Couch Available,40,2021-01-21 13:09,https://harrisonburg.craigslist.org/fuo/d/harrisonburg-couch-available/7265571120.html
Love seat couch,80,2021-01-19 19:34,https://lynchburg.craigslist.org/fuo/d/amherst-love-seat-couch/7264759694.html
IKEA couch,700,2021-01-19 08:40,https://charlottesville.craigslist.org/fuo/d/charlottesville-ikea-couch/7264378021.html
Large Sutter Street Couch,200,2021-01-16 22:28,https://charlottesville.craigslist.org/fuo/d/charlottesville-large-sutter-street/7257512778.html
Couch for sale,200,2021-01-16 21:31,https://charlottesville.craigslist.org/fuo/d/charlottesville-couch-for-sale/7263264230.html
Darling sofa / couch,120,2021-01-16 16:13,https://charlottesville.craigslist.org/fuo/d/scottsville-darling-sofa-couch/7263129367.html
Broyhill Loveseat,225,2021-02-15 10:06,https://richmond.craigslist.org/fuo/d/farmville-broyhill-loveseat/7277702579.html
"<({*(Three Piece)(Like new, )*Leather set in Gray Color",1400,2021-02-15 08:27,https://harrisonburg.craigslist.org/fuo/d/harrisonburg-three-piecelike-new/7277658025.html
Chaise lounge,60,2021-02-14 02:43,https://harrisonburg.craigslist.org/fuo/d/harrisonburg-chaise-lounge/7271600123.html
"Sofa chaise for sleepovers((Charlottesville)Stylish...,))",575,2021-02-13 09:33,https://charlottesville.craigslist.org/fuo/d/charlottesville-sofa-chaise-for/7268980099.html
"Gray/Black Couch 90"" Long",250,2021-01-15 09:14,https://fredericksburg.craigslist.org/fuo/d/spotsylvania-gray-black-couch-90-long/7262334374.html
Living room soft grey ensemble,1425,2021-02-10 16:14,https://charlottesville.craigslist.org/fuo/d/charlottesville-living-room-soft-grey/7270536265.html
Real leather black sectional couch,600,2021-01-14 17:29,https://charlottesville.craigslist.org/pts/d/north-garden-real-leather-black/7262114809.html
Sofa/couch,100,2021-01-14 10:30,https://charlottesville.craigslist.org/fuo/d/scottsville-sofa-couch/7261851685.html
L shaped couch,10,2021-01-13 23:02,https://richmond.craigslist.org/fuo/d/farmville-shaped-couch/7261723578.html
Large flower canvas wall art,20,2021-02-04 19:33,https://charlottesville.craigslist.org/art/d/charlottesville-large-flower-canvas/7272790014.html
Outback 28RSS Trailer for Sale!,7900,2021-02-01 14:37,https://lynchburg.craigslist.org/tro/d/piney-river-outback-28rss-trailer-for/7259503308.html
White Leather couch,700,2021-01-10 20:21,https://charlottesville.craigslist.org/fuo/d/charlottesville-white-leather-couch/7260121843.html
Vintage Victorian Couch,100,2021-01-10 11:51,https://charlottesville.craigslist.org/fuo/d/charlottesville-vintage-victorian-couch/7259867834.html
Leather sofa,750,2021-01-27 16:45,https://charlottesville.craigslist.org/fuo/d/free-union-leather-sofa/7257726957.html
Pull out sleeper couch,50,2021-01-09 11:05,https://lynchburg.craigslist.org/fuo/d/amherst-pull-out-sleeper-couch/7259366706.html
New pillows,10,2021-01-21 15:52,https://charlottesville.craigslist.org/fuo/d/charlottesville-new-pillows/7260268603.html
2018 Pioneer Camper,22000,2021-01-19 14:24,https://harrisonburg.craigslist.org/spo/d/stuarts-draft-2018-pioneer-camper/7264582363.html
Simpson's Couch Gag Set 2006,75,2021-01-07 10:03,https://charlottesville.craigslist.org/tag/d/charlottesville-simpsons-couch-gag-set/7251681766.html
Recliner W/ Lift Abilities,200,2021-02-02 13:15,https://charlottesville.craigslist.org/fuo/d/orange-recliner-lift-abilities/7271556419.html
Large couch and matching chair,750,2021-01-06 11:15,https://charlottesville.craigslist.org/fuo/d/charlottesville-large-couch-and/7257824641.html
Couch,500,2021-01-05 11:22,https://harrisonburg.craigslist.org/fuo/d/staunton-couch/7257287604.html
Bloomingdales circular leather sofa Italian leather living room,1000,2021-01-09 12:42,https://charlottesville.craigslist.org/fuo/d/free-union-bloomingdales-circular/7259427855.html
Travel trailer,5500,2021-01-07 17:19,https://lynchburg.craigslist.org/tro/d/madison-heights-travel-trailer/7258567111.html
2 velvet pillows,15,2021-01-06 13:37,https://charlottesville.craigslist.org/hsh/d/charlottesville-velvet-pillows/7244878358.html
